cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Mammoth Graveyard,3,40374923,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-009
Dragon Treasure,3,1435851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-092
Follow Wind,2,98252586,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN098
Basic Insect,2,89091579,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN008
Silver Fang,3,90357090,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN010
Skull Red Bird,5,10202894,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-105
Root Water,4,39004808,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN032
Sand Stone,5,73051941,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-109
Darkfire Dragon,2,17881964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-019
Hinotama Soul,3,96851799,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN026
Kagemusha of the Blue Flame,3,15401633,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-028
Darkworld Thorns,1,43500484,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-114
Man Eater,2,93553943,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-075
Petit Angel,1,38142739,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN025
Hard Armor,4,20060230,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN074
Nemuriko,8,90963488,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-013
Armaill,2,53153481,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN079
Karbonala Warrior,3,54541900,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN067
Turtle Tiger,2,37313348,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-023
Mystical Sheep #2,4,83464209,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN037
Yami,3,59197169,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN051
The 13th Grave,1,32864,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN014
Kurama,3,85705804,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN039
Book of Secret Arts,2,91595718,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-043
Two-Mouth Darkruler,2,57305373,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-030
Machine Conversion Factory,4,25769732,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-096
Spirit of the Harp,2,80770678,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-078
Steel Ogre Grotto #1,2,29172562,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN112
Umi,1,22702055,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-050
Vile Germs,2,39774685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-090
Petit Dragon,2,75356564,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-024
Hitotsu-Me Giant,5,76184692,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-002
Firegrass,1,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-018
Mystical Moon,4,36607978,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-094
Fiend Reflection #2,5,2863439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-021
Hane-Hane,2,7089711,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN110
Armored Starfish,2,17535588,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN116
Lesser Dragon,3,55444629,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN113
King Fog,4,84686841,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN036
Green Phantom King,4,22910685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-034
Ray & Temperature,6,85309439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN035
Fissure,2,66788016,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN057
Swords of Revealing Light,2,72302403,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-101
Trial of Nightmare,2,77827521,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN012
Fireyarou,4,71407486,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-085
Flame Manipulator,2,34460851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-016
Frenzied Panda,5,98818516,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN081
M-Warrior #2,3,92731455,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN077
Fusionist,2,1641882,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-022
Witty Phantom,2,36304921,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-072
M-Warrior #1,3,56342351,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-076
Sogen,1,86318356,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-049
Electro-Whip,3,37820550,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-093
Hinotama,2,46130346,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-056
Gravedigger Ghoul,3,82542267,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-065
Gaia The Fierce Knight,1,6368038,Ultra Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-006
Legendary Sword,2,61854111,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN040
Kumootoko,3,56283725,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-082
Power of Kaishin,1,77027445,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN044
Raise Body Heat,5,51267887,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-097
Uraby,1,1784619,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-069
Red Medicine,1,38199696,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN054
Beaver Warrior,4,32452818,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN064
Violet Crystal,3,15052462,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-042
The Furious Sea King,6,18710707,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN033
Tyhone,2,72842870,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-063
Laser Cannon Armor,3,77007920,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-089
Larvas,3,94675535,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-073
Silver Bow and Arrow,3,1557499,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN091
Beast Fangs,2,46009906,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-041
Two-Pronged Attack,1,83887306,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-061
